comb,WT_div,LZ_div,type,morph,community,coevolved,morph_comb,WT_coev,LZ_coev,treatment,treatment2,T0_count_ml,T1_count,T1_count_ml
11,1,1,LZ,SM,4,N,SM,N,N,1N_1N,SM_WS,244446.4286,80,533333333.3
11,1,1,LZ,WS,NA,N,WS,N,N,1N_1N,SM_WS,NA,0,NA
11,1,1,WT,SM,NA,N,SM,N,N,1N_1N,SM_WS,NA,0,NA
11,1,1,WT,WS,7,N,WS,N,N,1N_1N,SM_WS,175267.8571,201,1.34E+09
110,2,1,LZ,SM,NA,N,SM,Y,N,1N_2Y,WS_WS:SM:Y,NA,0,NA
110,2,1,LZ,WS,8,N,WS,Y,N,1N_2Y,WS_WS:SM:Y,369107.1429,264,1.76E+09
110,2,1,WT,SM,11,Y,SM_WS,Y,N,1N_2Y,WS_WS:SM:Y,344732.1429,13,86666666.67
110,2,1,WT,WS,11,Y,SM_WS,Y,N,1N_2Y,WS_WS:SM:Y,325000,111,7.40E+08
111,1,2,LZ,SM,8,Y,SM_WS,N,Y,2Y_1N,WS:SM:Y_SM,31055.555,11,7333333.333
111,1,2,LZ,WS,8,Y,SM_WS,N,Y,2Y_1N,WS:SM:Y_SM,84680.555,37,24666666.67
111,1,2,WT,SM,11,N,SM,N,Y,2Y_1N,WS:SM:Y_SM,82333.335,3,2.00E+06
111,1,2,WT,WS,NA,N,WS,N,Y,2Y_1N,WS:SM:Y_SM,NA,0,NA
112,1,2,LZ,SM,8,Y,SM_WS,N,Y,2Y_1N,WS:SM:Y_WS,251875,45,3.00E+08
112,1,2,LZ,WS,8,Y,SM_WS,N,Y,2Y_1N,WS:SM:Y_WS,184553.5714,77,513333333.3
112,1,2,WT,SM,NA,N,SM,N,Y,2Y_1N,WS:SM:Y_WS,NA,0,NA
112,1,2,WT,WS,11,N,WS,N,Y,2Y_1N,WS:SM:Y_WS,650000,101,673333333.3
113,2,0,LZ,SM,NA,N,SM,Y,N,0N_2Y,NA_WS:SM:Y,NA,0,NA
