comb,WT_div,LZ_div,type,morph,community,coevolved,morph_comb,WT_coev,LZ_coev,treatment,treatment2,T0_count_ml,T1_count,T1_count_ml
151,2,2,WT,SM,11,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,344732.1429,134,89333333.33
151,2,2,WT,WS,11,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,325000,114,7.60E+07
152,2,2,LZ,SM,9,N,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,224017.8571,49,32666666.67
152,2,2,LZ,WS,8,N,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,184553.5714,6,4.00E+06
152,2,2,WT,SM,12,Y,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,363303.5714,111,7.40E+07
152,2,2,WT,WS,12,Y,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,234464.2857,28,18666666.67
153,2,2,LZ,SM,8,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,251875,65,433333333.3
153,2,2,LZ,WS,8,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,184553.5714,49,326666666.7
153,2,2,WT,SM,12,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,363303.5714,11,73333333.33
153,2,2,WT,WS,11,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,325000,12,8.00E+07
154,2,2,LZ,SM,9,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,224017.8571,204,1.36E+08
154,2,2,LZ,WS,9,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,204285.7143,5,3333333.333
154,2,2,WT,SM,11,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,344732.1429,90,6.00E+07
154,2,2,WT,WS,12,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,234464.2857,12,8.00E+06
155,2,2,LZ,SM,8,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,251875,55,366666666.7
155,2,2,LZ,WS,8,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,184553.5714,18,1.20E+08
155,2,2,WT,SM,11,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,344732.1429,24,1.60E+08
155,2,2,WT,WS,12,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,234464.2857,63,4.20E+08
156,2,2,LZ,SM,9,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,224017.8571,176,117333333.3
156,2,2,LZ,WS,9,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,204285.7143,12,8.00E+06
156,2,2,WT,SM,12,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,363303.5714,61,40666666.67
156,2,2,WT,WS,11,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,325000,5,3333333.333
16,2,1,LZ,SM,NA,N,SM,Y,N,1N_2Y,WS_WS:SM:Y,NA,13,NA
16,2,1,LZ,WS,4,N,WS,Y,N,1N_2Y,WS_WS:SM:Y,141839.2857,119,793333333.3
16,2,1,WT,SM,7,Y,SM_WS,Y,N,1N_2Y,WS_WS:SM:Y,358660.7143,9,6.00E+07
16,2,1,WT,WS,7,Y,SM_WS,Y,N,1N_2Y,WS_WS:SM:Y,87633.92857,57,3.80E+08
17,1,2,LZ,SM,4,Y,SM_WS,N,Y,2Y_1N,WS:SM:Y_SM,122223.2143,44,293333333.3
17,1,2,LZ,WS,4,Y,SM_WS,N,Y,2Y_1N,WS:SM:Y_SM,70919.64286,6,4.00E+07
17,1,2,WT,SM,7,N,SM,N,Y,2Y_1N,WS:SM:Y_SM,717321.4286,11,73333333.33
17,1,2,WT,WS,NA,N,WS,N,Y,2Y_1N,WS:SM:Y_SM,NA,0,NA
18,1,2,LZ,SM,4,Y,SM_WS,N,Y,2Y_1N,WS:SM:Y_WS,122223.2143,52,346666666.7
18,1,2,LZ,WS,4,Y,SM_WS,N,Y,2Y_1N,WS:SM:Y_WS,70919.64286,108,7.20E+08
18,1,2,WT,SM,NA,N,SM,N,Y,2Y_1N,WS:SM:Y_WS,NA,1,NA
18,1,2,WT,WS,7,N,WS,N,Y,2Y_1N,WS:SM:Y_WS,175267.8571,81,5.40E+08
19,2,0,LZ,SM,NA,N,SM,Y,N,0N_2Y,NA_WS:SM:Y,NA,0,NA
19,2,0,LZ,WS,NA,N,WS,Y,N,0N_2Y,NA_WS:SM:Y,NA,0,NA
19,2,0,WT,SM,7,Y,SM_WS,Y,N,0N_2Y,NA_WS:SM:Y,358660.7143,9,6.00E+07
19,2,0,WT,WS,7,Y,SM_WS,Y,N,0N_2Y,NA_WS:SM:Y,87633.92857,254,1693333333
2,1,1,LZ,SM,NA,N,SM,N,N,1N_1N,WS_SM,NA,0,NA
2,1,1,LZ,WS,3,N,WS,N,N,1N_1N,WS_SM,60589.28571,50,333333333.3
2,1,1,WT,SM,1,N,SM,N,N,1N_1N,WS_SM,47125,23,153333333.3
2,1,1,WT,WS,NA,N,WS,N,N,1N_1N,WS_SM,NA,0,NA
20,0,2,LZ,SM,4,Y,SM_WS,N,Y,2Y_0N,WS:SM:Y_NA,122223.2143,79,526666666.7
20,0,2,LZ,WS,4,Y,SM_WS,N,Y,2Y_0N,WS:SM:Y_NA,70919.64286,190,1266666667
20,0,2,WT,SM,NA,N,SM,N,Y,2Y_0N,WS:SM:Y_NA,NA,0,NA
20,0,2,WT,WS,NA,N,WS,N,Y,2Y_0N,WS:SM:Y_NA,NA,0,NA
21,2,1,LZ,SM,3,N,SM,N,N,1N_2N,SM_WS:SM:N,677857.1429,57,3.80E+08
21,2,1,LZ,WS,NA,N,WS,N,N,1N_2N,SM_WS:SM:N,NA,0,NA
21,2,1,WT,SM,1,N,SM_WS,N,N,1N_2N,SM_WS:SM:N,23562.5,1,6666666.667
21,2,1,WT,WS,7,N,SM_WS,N,N,1N_2N,SM_WS:SM:N,87633.92857,146,973333333.3
22,2,1,LZ,SM,4,N,SM,N,N,1N_2N,SM_WS:SM:N,244446.4286,30,2.00E+08
22,2,1,LZ,WS,NA,N,WS,N,N,1N_2N,SM_WS:SM:N,NA,0,NA
22,2,1,WT,SM,1,N,SM_WS,N,N,1N_2N,SM_WS:SM:N,23562.5,6,4.00E+07
22,2,1,WT,WS,7,N,SM_WS,N,N,1N_2N,SM_WS:SM:N,87633.92857,122,813333333.3
23,2,1,LZ,SM,NA,N,SM,N,N,1N_2N,WS_WS:SM:N,NA,0,NA
23,2,1,LZ,WS,3,N,WS,N,N,1N_2N,WS_WS:SM:N,60589.28571,153,1.02E+09
23,2,1,WT,SM,1,N,SM_WS,N,N,1N_2N,WS_WS:SM:N,23562.5,6,4.00E+07
23,2,1,WT,WS,7,N,SM_WS,N,N,1N_2N,WS_WS:SM:N,87633.92857,81,5.40E+08
24,2,1,LZ,SM,NA,N,SM,N,N,1N_2N,WS_WS:SM:N,NA,3,NA
24,2,1,LZ,WS,4,N,WS,N,N,1N_2N,WS_WS:SM:N,141839.2857,124,826666666.7
24,2,1,WT,SM,1,N,SM_WS,N,N,1N_2N,WS_WS:SM:N,23562.5,15,1.00E+08
24,2,1,WT,WS,7,N,SM_WS,N,N,1N_2N,WS_WS:SM:N,87633.92857,57,3.80E+08
25,2,1,LZ,SM,3,N,SM,N,N,1N_2N,SM_WS:SM:N,677857.1429,68,45333333.33
25,2,1,LZ,WS,NA,N,WS,N,N,1N_2N,SM_WS:SM:N,NA,0,NA
25,2,1,WT,SM,7,N,SM_WS,N,N,1N_2N,SM_WS:SM:N,358660.7143,32,21333333.33
25,2,1,WT,WS,1,N,SM_WS,N,N,1N_2N,SM_WS:SM:N,386517.8571,23,15333333.33
26,2,1,LZ,SM,4,N,SM,N,N,1N_2N,SM_WS:SM:N,244446.4286,2,1333333.333
26,2,1,LZ,WS,NA,N,WS,N,N,1N_2N,SM_WS:SM:N,NA,0,NA
26,2,1,WT,SM,7,N,SM_WS,N,N,1N_2N,SM_WS:SM:N,358660.7143,25,16666666.67
26,2,1,WT,WS,1,N,SM_WS,N,N,1N_2N,SM_WS:SM:N,386517.8571,10,6666666.667
27,2,1,LZ,SM,NA,N,SM,N,N,1N_2N,WS_WS:SM:N,NA,0,NA
27,2,1,LZ,WS,3,N,WS,N,N,1N_2N,WS_WS:SM:N,60589.28571,10,1.00E+08
27,2,1,WT,SM,7,N,SM_WS,N,N,1N_2N,WS_WS:SM:N,358660.7143,9,9.00E+07
27,2,1,WT,WS,1,N,SM_WS,N,N,1N_2N,WS_WS:SM:N,386517.8571,13,1.30E+08
28,2,1,LZ,SM,NA,N,SM,N,N,1N_2N,WS_WS:SM:N,NA,5,NA
28,2,1,LZ,WS,4,N,WS,N,N,1N_2N,WS_WS:SM:N,141839.2857,77,7.70E+08
28,2,1,WT,SM,7,N,SM_WS,N,N,1N_2N,WS_WS:SM:N,358660.7143,4,4.00E+07
28,2,1,WT,WS,1,N,SM_WS,N,N,1N_2N,WS_WS:SM:N,386517.8571,16,1.60E+08
29,1,2,LZ,SM,4,N,SM_WS,N,N,2N_1N,WS:SM:N_SM,122223.2143,9,6.00E+06
29,1,2,LZ,WS,3,N,SM_WS,N,N,2N_1N,WS:SM:N_SM,30294.64286,3,2.00E+06
29,1,2,WT,SM,1,N,SM,N,N,2N_1N,WS:SM:N_SM,47125,40,26666666.67
29,1,2,WT,WS,NA,N,WS,N,N,2N_1N,WS:SM:N_SM,NA,0,NA
3,1,1,LZ,SM,3,N,SM,N,N,1N_1N,SM_SM,677857.1429,50,333333333.3
3,1,1,LZ,WS,NA,N,WS,N,N,1N_1N,SM_SM,NA,0,NA
3,1,1,WT,SM,1,N,SM,N,N,1N_1N,SM_SM,47125,6,4.00E+07
3,1,1,WT,WS,NA,N,WS,N,N,1N_1N,SM_SM,NA,0,NA
30,1,2,LZ,SM,4,N,SM_WS,N,N,2N_1N,WS:SM:N_SM,122223.2143,28,2.80E+08
30,1,2,LZ,WS,3,N,SM_WS,N,N,2N_1N,WS:SM:N_SM,30294.64286,7,7.00E+07
30,1,2,WT,SM,7,N,SM,N,N,2N_1N,WS:SM:N_SM,717321.4286,19,1.90E+08
30,1,2,WT,WS,NA,N,WS,N,N,2N_1N,WS:SM:N_SM,NA,0,NA
31,1,2,LZ,SM,4,N,SM_WS,N,N,2N_1N,WS:SM:N_WS,122223.2143,18,1.20E+08
31,1,2,LZ,WS,3,N,SM_WS,N,N,2N_1N,WS:SM:N_WS,30294.64286,131,873333333.3
31,1,2,WT,SM,NA,N,SM,N,N,2N_1N,WS:SM:N_WS,NA,0,NA
31,1,2,WT,WS,1,N,WS,N,N,2N_1N,WS:SM:N_WS,773035.7143,62,413333333.3
32,1,2,LZ,SM,4,N,SM_WS,N,N,2N_1N,WS:SM:N_WS,122223.2143,20,133333333.3
32,1,2,LZ,WS,3,N,SM_WS,N,N,2N_1N,WS:SM:N_WS,30294.64286,74,493333333.3
32,1,2,WT,SM,NA,N,SM,N,N,2N_1N,WS:SM:N_WS,NA,0,NA
32,1,2,WT,WS,7,N,WS,N,N,2N_1N,WS:SM:N_WS,175267.8571,81,5.40E+08
33,1,2,LZ,SM,3,N,SM_WS,N,N,2N_1N,WS:SM:N_SM,338928.5714,43,286666666.7
33,1,2,LZ,WS,4,N,SM_WS,N,N,2N_1N,WS:SM:N_SM,70919.64286,64,426666666.7
33,1,2,WT,SM,1,N,SM,N,N,2N_1N,WS:SM:N_SM,47125,3,2.00E+07
33,1,2,WT,WS,NA,N,WS,N,N,2N_1N,WS:SM:N_SM,NA,0,NA
34,1,2,LZ,SM,3,N,SM_WS,N,N,2N_1N,WS:SM:N_SM,338928.5714,65,433333333.3
34,1,2,LZ,WS,4,N,SM_WS,N,N,2N_1N,WS:SM:N_SM,70919.64286,82,546666666.7
34,1,2,WT,SM,7,N,SM,N,N,2N_1N,WS:SM:N_SM,717321.4286,1,6666666.667
34,1,2,WT,WS,NA,N,WS,N,N,2N_1N,WS:SM:N_SM,NA,0,NA
35,1,2,LZ,SM,3,N,SM_WS,N,N,2N_1N,WS:SM:N_WS,338928.5714,20,133333333.3
35,1,2,LZ,WS,4,N,SM_WS,N,N,2N_1N,WS:SM:N_WS,70919.64286,53,353333333.3
35,1,2,WT,SM,NA,N,SM,N,N,2N_1N,WS:SM:N_WS,NA,0,NA
35,1,2,WT,WS,1,N,WS,N,N,2N_1N,WS:SM:N_WS,773035.7143,28,186666666.7
36,1,2,LZ,SM,3,N,SM_WS,N,N,2N_1N,WS:SM:N_WS,338928.5714,55,366666666.7
36,1,2,LZ,WS,4,N,SM_WS,N,N,2N_1N,WS:SM:N_WS,70919.64286,90,6.00E+08
36,1,2,WT,SM,NA,N,SM,N,N,2N_1N,WS:SM:N_WS,NA,0,NA
36,1,2,WT,WS,7,N,WS,N,N,2N_1N,WS:SM:N_WS,175267.8571,80,533333333.3
37,2,2,LZ,SM,4,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,122223.2143,20,13333333.33
37,2,2,LZ,WS,3,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,30294.64286,4,2666666.667
37,2,2,WT,SM,7,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,358660.7143,58,38666666.67
37,2,2,WT,WS,1,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,386517.8571,11,7333333.333
38,2,2,LZ,SM,3,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,338928.5714,28,186666666.7
38,2,2,LZ,WS,4,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,70919.64286,66,4.40E+08
38,2,2,WT,SM,7,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,358660.7143,4,26666666.67
38,2,2,WT,WS,1,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,386517.8571,25,166666666.7
39,2,2,LZ,SM,4,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,122223.2143,44,293333333.3
39,2,2,LZ,WS,3,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,30294.64286,38,253333333.3
39,2,2,WT,SM,1,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,23562.5,5,33333333.33
39,2,2,WT,WS,7,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,87633.92857,56,373333333.3
4,1,1,LZ,SM,NA,N,SM,N,N,1N_1N,WS_WS,NA,1,NA
4,1,1,LZ,WS,3,N,WS,N,N,1N_1N,WS_WS,60589.28571,171,1.14E+09
4,1,1,WT,SM,NA,N,SM,N,N,1N_1N,WS_WS,NA,0,NA
4,1,1,WT,WS,1,N,WS,N,N,1N_1N,WS_WS,773035.7143,126,8.40E+08
40,2,2,LZ,SM,3,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,338928.5714,44,293333333.3
40,2,2,LZ,WS,4,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,70919.64286,45,3.00E+08
40,2,2,WT,SM,1,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,23562.5,8,53333333.33
40,2,2,WT,WS,7,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,87633.92857,23,153333333.3
41,2,2,LZ,SM,4,N,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,122223.2143,193,128666666.7
41,2,2,LZ,WS,3,N,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,30294.64286,18,1.20E+07
41,2,2,WT,SM,1,Y,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,23562.5,114,7.60E+07
41,2,2,WT,WS,1,Y,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,386517.8571,44,29333333.33
42,2,2,LZ,SM,3,N,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,338928.5714,50,333333333.3
42,2,2,LZ,WS,4,N,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,70919.64286,2,13333333.33
42,2,2,WT,SM,1,Y,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,23562.5,6,4.00E+07
42,2,2,WT,WS,1,Y,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,386517.8571,1,6666666.667
43,2,2,LZ,SM,3,N,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,338928.5714,31,206666666.7
43,2,2,LZ,WS,4,N,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,70919.64286,91,606666666.7
43,2,2,WT,SM,7,Y,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,358660.7143,0,0
43,2,2,WT,WS,7,Y,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,87633.92857,49,326666666.7
44,2,2,LZ,SM,3,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,338928.5714,55,366666666.7
44,2,2,LZ,WS,3,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,30294.64286,9,6.00E+07
44,2,2,WT,SM,7,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,358660.7143,7,46666666.67
44,2,2,WT,WS,7,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,87633.92857,41,273333333.3
45,2,2,LZ,SM,3,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,338928.5714,77,51333333.33
45,2,2,LZ,WS,3,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,30294.64286,1,666666.6667
45,2,2,WT,SM,1,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,23562.5,31,20666666.67
45,2,2,WT,WS,1,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,386517.8571,11,7333333.333
46,2,2,LZ,SM,4,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,122223.2143,27,1.80E+08
46,2,2,LZ,WS,4,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,70919.64286,69,4.60E+08
46,2,2,WT,SM,7,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,358660.7143,6,4.00E+07
46,2,2,WT,WS,7,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,87633.92857,19,126666666.7
47,2,2,LZ,SM,4,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,122223.2143,56,373333333.3
47,2,2,LZ,WS,4,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,70919.64286,54,3.60E+08
47,2,2,WT,SM,1,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,23562.5,7,46666666.67
47,2,2,WT,WS,1,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,386517.8571,39,2.60E+08
48,2,2,LZ,SM,4,N,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,122223.2143,21,1.40E+08
48,2,2,LZ,WS,3,N,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,30294.64286,68,453333333.3
48,2,2,WT,SM,7,Y,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,358660.7143,6,4.00E+07
48,2,2,WT,WS,7,Y,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,87633.92857,55,366666666.7
49,2,2,LZ,SM,3,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,338928.5714,152,101333333.3
49,2,2,LZ,WS,3,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,30294.64286,5,3333333.333
49,2,2,WT,SM,7,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,358660.7143,35,23333333.33
49,2,2,WT,WS,1,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,386517.8571,15,1.00E+07
5,2,1,LZ,SM,3,N,SM,Y,N,1N_2Y,SM_WS:SM:Y,677857.1429,51,3.40E+08
5,2,1,LZ,WS,NA,N,WS,Y,N,1N_2Y,SM_WS:SM:Y,NA,0,NA
5,2,1,WT,SM,1,Y,SM_WS,Y,N,1N_2Y,SM_WS:SM:Y,23562.5,5,33333333.33
5,2,1,WT,WS,1,Y,SM_WS,Y,N,1N_2Y,SM_WS:SM:Y,386517.8571,4,26666666.67
50,2,2,LZ,SM,4,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,122223.2143,64,426666666.7
50,2,2,LZ,WS,4,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,70919.64286,82,546666666.7
50,2,2,WT,SM,1,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,23562.5,9,6.00E+07
50,2,2,WT,WS,7,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,87633.92857,65,433333333.3
51,2,2,LZ,SM,3,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,338928.5714,26,173333333.3
51,2,2,LZ,WS,3,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,30294.64286,15,1.00E+08
51,2,2,WT,SM,1,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,23562.5,6,4.00E+07
51,2,2,WT,WS,7,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,87633.92857,12,8.00E+07
52,2,2,LZ,SM,4,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,122223.2143,23,153333333.3
52,2,2,LZ,WS,4,Y,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,70919.64286,3,2.00E+07
52,2,2,WT,SM,7,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,358660.7143,5,33333333.33
52,2,2,WT,WS,1,N,SM_WS,N,Y,2Y_2N,WS:SM:Y_WS:SM:N,386517.8571,2,13333333.33
53,1,1,LZ,SM,6,N,SM,N,N,1N_1N,SM_WS,719642.8571,98,653333333.3
53,1,1,LZ,WS,NA,N,WS,N,N,1N_1N,SM_WS,NA,0,NA
53,1,1,WT,SM,NA,N,SM,N,N,1N_1N,SM_WS,NA,0,NA
53,1,1,WT,WS,9,N,WS,N,N,1N_1N,SM_WS,585000,186,1.24E+09
54,1,1,LZ,SM,NA,N,SM,N,N,1N_1N,WS_SM,NA,23,NA
54,1,1,LZ,WS,6,N,WS,N,N,1N_1N,WS_SM,401607.1429,81,5.40E+08
54,1,1,WT,SM,9,N,SM,N,N,1N_1N,WS_SM,717321.4286,30,2.00E+08
54,1,1,WT,WS,NA,N,WS,N,N,1N_1N,WS_SM,NA,0,NA
55,1,1,LZ,SM,6,N,SM,N,N,1N_1N,SM_SM,719642.8571,60,4.00E+08
55,1,1,LZ,WS,NA,N,WS,N,N,1N_1N,SM_SM,NA,0,NA
55,1,1,WT,SM,9,N,SM,N,N,1N_1N,SM_SM,717321.4286,15,1.00E+08
55,1,1,WT,WS,NA,N,WS,N,N,1N_1N,SM_SM,NA,0,NA
56,1,1,LZ,SM,NA,N,SM,N,N,1N_1N,WS_WS,NA,31,NA
56,1,1,LZ,WS,6,N,WS,N,N,1N_1N,WS_WS,401607.1429,93,6.20E+08
56,1,1,WT,SM,NA,N,SM,N,N,1N_1N,WS_WS,NA,7,NA
56,1,1,WT,WS,9,N,WS,N,N,1N_1N,WS_WS,585000,45,3.00E+08
57,2,1,LZ,SM,6,N,SM,Y,N,1N_2Y,SM_WS:SM:Y,719642.8571,27,1.80E+08
57,2,1,LZ,WS,NA,N,WS,Y,N,1N_2Y,SM_WS:SM:Y,NA,0,NA
57,2,1,WT,SM,9,Y,SM_WS,Y,N,1N_2Y,SM_WS:SM:Y,358660.7143,24,1.60E+08
57,2,1,WT,WS,9,Y,SM_WS,Y,N,1N_2Y,SM_WS:SM:Y,292500,0,0
58,2,1,LZ,SM,NA,N,SM,Y,N,1N_2Y,WS_WS:SM:Y,NA,44,NA
58,2,1,LZ,WS,6,N,WS,Y,N,1N_2Y,WS_WS:SM:Y,401607.1429,93,6.20E+08
58,2,1,WT,SM,9,Y,SM_WS,Y,N,1N_2Y,WS_WS:SM:Y,358660.7143,24,1.60E+08
58,2,1,WT,WS,9,Y,SM_WS,Y,N,1N_2Y,WS_WS:SM:Y,292500,15,1.00E+08
59,1,2,LZ,SM,6,Y,SM_WS,N,Y,2Y_1N,WS:SM:Y_SM,359821.4286,175,1166666667
59,1,2,LZ,WS,6,Y,SM_WS,N,Y,2Y_1N,WS:SM:Y_SM,200803.5714,23,153333333.3
59,1,2,WT,SM,9,N,SM,N,Y,2Y_1N,WS:SM:Y_SM,717321.4286,23,153333333.3
59,1,2,WT,WS,NA,N,WS,N,Y,2Y_1N,WS:SM:Y_SM,NA,0,NA
6,2,1,LZ,SM,NA,N,SM,Y,N,1N_2Y,WS_WS:SM:Y,NA,0,NA
6,2,1,LZ,WS,3,N,WS,Y,N,1N_2Y,WS_WS:SM:Y,60589.28571,37,246666666.7
6,2,1,WT,SM,1,Y,SM_WS,Y,N,1N_2Y,WS_WS:SM:Y,23562.5,22,146666666.7
6,2,1,WT,WS,1,Y,SM_WS,Y,N,1N_2Y,WS_WS:SM:Y,386517.8571,22,146666666.7
60,1,2,LZ,SM,6,Y,SM_WS,N,Y,2Y_1N,WS:SM:Y_WS,359821.4286,214,1426666667
60,1,2,LZ,WS,6,Y,SM_WS,N,Y,2Y_1N,WS:SM:Y_WS,200803.5714,111,7.40E+08
60,1,2,WT,SM,NA,N,SM,N,Y,2Y_1N,WS:SM:Y_WS,NA,4,NA
60,1,2,WT,WS,9,N,WS,N,Y,2Y_1N,WS:SM:Y_WS,585000,46,306666666.7
61,2,0,LZ,SM,NA,N,SM,Y,N,0N_2Y,NA_WS:SM:Y,NA,0,NA
61,2,0,LZ,WS,NA,N,WS,Y,N,0N_2Y,NA_WS:SM:Y,NA,0,NA
61,2,0,WT,SM,9,Y,SM_WS,Y,N,0N_2Y,NA_WS:SM:Y,358660.7143,30,2.00E+08
61,2,0,WT,WS,9,Y,SM_WS,Y,N,0N_2Y,NA_WS:SM:Y,292500,235,1566666667
62,0,2,LZ,SM,6,Y,SM_WS,N,Y,2Y_0N,WS:SM:Y_NA,359821.4286,132,8.80E+08
62,0,2,LZ,WS,6,Y,SM_WS,N,Y,2Y_0N,WS:SM:Y_NA,200803.5714,42,2.80E+08
62,0,2,WT,SM,NA,N,SM,N,Y,2Y_0N,WS:SM:Y_NA,NA,0,NA
62,0,2,WT,WS,NA,N,WS,N,Y,2Y_0N,WS:SM:Y_NA,NA,0,NA
63,1,1,LZ,SM,7,N,SM,N,N,1N_1N,SM_WS,401607.1429,100,666666666.7
63,1,1,LZ,WS,NA,N,WS,N,N,1N_1N,SM_WS,NA,0,NA
63,1,1,WT,SM,NA,N,SM,N,N,1N_1N,SM_WS,NA,0,NA
63,1,1,WT,WS,10,N,WS,N,N,1N_1N,SM_WS,494464.2857,29,193333333.3
64,1,1,LZ,SM,NA,N,SM,N,N,1N_1N,WS_SM,NA,1,NA
64,1,1,LZ,WS,7,N,WS,N,N,1N_1N,WS_SM,369107.1429,70,466666666.7
64,1,1,WT,SM,10,N,SM,N,N,1N_1N,WS_SM,865892.8571,33,2.20E+08
64,1,1,WT,WS,NA,N,WS,N,N,1N_1N,WS_SM,NA,0,NA
